razon_social,objeto_social,cif,forma_juridica,actividad,actividad_cnae,sector,estado_empresa,fecha_constitucion,fecha_ultimo_cambio,direccion,telefono,web,email,url
Dimag Mediterranea Sl,Objeto socialComercio al por mayor de aluminio.,CIFB96164520,Forma jurídicaSociedad limitada,"46.62/ Comercio al por mayor de máquinas herramienta. Otras actividades: 77.31/ Alquiler de maquinaria y equpo de uso agrícola, 68.32/ Gestión y administración de la propiedad inmobiliaria, 41.10/ Promoción Inmobiliaria, 68.31/ Agentes de la propiedad inmobiliaria, 68.10/ Compra",Actividad CNAE4662 - Comercio al por mayor de máquinas herramienta,SectorComercio,Estado de la empresaViva,Fecha de constitución25-3-1994,Fecha último cambio31-8-2025,"Calle serretilla, 152 - 153, chiva, 46370, valencia",962524117,,administracion@dimagmediterranea.com,https://empresite.eleconomista.es/DIMAG-MEDITERRANEA.html
Electrochiva Sl,Objeto socialActividad de instalaciones y reparaciones electricas para usos urbanos e industriales.,CIFB96366901,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4321 - Instalaciones eléctricas,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución13-2-1995,Fecha último cambio10-8-2025,"Plaza la iglesia, 1 - bj, chiva, 46370, valencia",962522953,,electrochiva@hotmail.com,https://empresite.eleconomista.es/ELECTROCHIVA.html
Jatoser Sl,"Objeto socialEl estudio, promocion y construccion de toda clase de inmuebles, asi como la venta y arrendamiento no financiero de los mismos. el comercio de materiales de construccion de cualquier clase. la fabricacion de pinturas, la",CIFB46457230,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE6820 - Alquiler de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaInactiva según nuestras fuentes,Fecha de constitución14-6-1988,,"Calle domingo vela, 23, chiva, 46370, valencia",962522325,,,https://empresite.eleconomista.es/JATOSER.html
Sys Aguas Potables Calicanto Sl,Objeto socialProduccion de aguas minerales y bebidas alcoholicas,CIFB97164537,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE3600 - Captación, depuración y distribución de agua",SectorEnergía,Estado de la empresaViva,Fecha de constitución22-3-2002,Fecha último cambio14-1-2024,"Carretera cv-50 cheste a godelleta, chiva, 46370, valencia",,,administracion@abasagestion.com,https://empresite.eleconomista.es/SYS-AGUAS-POTABLES-CALICANTO.html
Construcciones Vireyco Sl,Objeto socialPromocion y construccion de pisos.,CIFB96358031,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución19-1-1995,Fecha último cambio14-9-2025,"Calle doctor nacher, 62 - 1, chiva, 46370, valencia",962522778,,,https://empresite.eleconomista.es/CONSTRUCCIONES-VIREYCO.html
Joaquin Sanchez Garcia Sl,Objeto socialVenta mayor de cereales,CIFB46560397,Forma jurídicaSociedad limitada,"ActividadComercio al por mayor de cereales, similares, plantas, abonos, sustancias fertilizante, plaguicidas, animales vivos, tab","Actividad CNAE4621 - Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales",SectorComercio,Estado de la empresaViva,Fecha de constitución22-6-1988,Fecha último cambio26-10-2025,"Carretera a-3, chiva, 46370, valencia",962520005,,logisticayservicioschiva@hotmail.com,https://empresite.eleconomista.es/JOAQUIN-SANCHEZ-GARCIA.html
Riegos Roana Sl,"Objeto socialConstruccion y reparacion y conservacion de edificios y obras publicas. comprendiendose en estas actividades como fines propios la realizacion de obras nuevas de edificacion urbana, industrial saneamiento y abastecimient",CIFB46625984,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4399 - Otras actividades de construcción especializada n.c.o.p.,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución18-4-1989,,"Calle virgen desamparados, 6, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/RIEGOS-ROANA.html
Martinez Madrid Sl,"Objeto socialServicio de alimentacion y hospedaje, comercio menor de productos alimenticios, bebidas y tabaco realizado en establecimientos permanentes y comercio menor de productos industriales no alimenticios.",CIFB96361399,Forma jurídicaSociedad limitada,Restaurantes y puestos de comida. CNAE. 5610,Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaViva,Fecha de constitución9-3-1995,Fecha último cambio24-8-2025,"Carretera madrid, chiva, 46370, valencia",962523095,,info@hotelignacio.com,https://empresite.eleconomista.es/MARTINEZ-MADRID-VALENCIA.html
Comercial Kench Sociedad Limitada,Objeto socialAlquiler de bienes inmuebles.,CIFB46267431,Forma jurídicaSociedad limitada,ActividadComercio al por mayor de productos químicos industriales,Actividad CNAE4675 - Comercio al por mayor de productos químicos,SectorComercio,Estado de la empresaViva,Fecha de constitución23-5-1985,Fecha último cambio9-11-2025,"Calle puerto de los leones, 271, chiva, 46370, valencia",961523361,,,https://empresite.eleconomista.es/COMERCIAL-KENCH.html
Distroval Sl,"Objeto socialA) la actividad encaminada a la comercializacion al por mayor y menor de todo tipo de productos para farmacia y ortopedicos. b) la parcelacion y el arrendamiento, excluido el financiero, y el aprovechamiento economico de",CIFB46360152,Forma jurídicaSociedad limitada,"ActividadIntermediarios del comercio de productos alimenticios, bebidas y","Actividad CNAE4617 - Intermediarios del comercio de productos alimenticios, bebidas y tabaco",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución3-12-1986,,"Carretera madrid, km. 311, chiva, 46370, valencia",962524888,,,https://empresite.eleconomista.es/DISTROVAL.html
Suministros Dic & Ibe Sociedad Limitada.,"Objeto socialA) la fabricacion, comercializacion, importacion y exportacion de todo tipo de productos ceramicos b) el almacenaje, elaboracion, fabricacion, comercializacion y manipulacion de todo tipo de materiales y maquinaria para",CIFB97447528,Forma jurídicaSociedad limitada,ActividadConstrucción de edificios residenciales,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución9-6-2004,,"Carretera cv- 50 cheste a godelleta, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/SUMINISTROS-DIC-IBE.html
Terramar Multi Modal Sociedad Limitada,Objeto socialComercio y alquiler de toda clase de maquinaria interindustrial.,CIFB73133779,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4669 - Comercio al por mayor de otra maquinaria y equipo,SectorComercio,Estado de la empresaViva,Fecha de constitución23-7-2001,Fecha último cambio24-8-2025,"Calle jazmines, 4 - k, chiva, 46370, valencia",962522392,,matias.terramar@gmail.com,https://empresite.eleconomista.es/TERRAMAR-MULTI-MODAL.html
Lavado Y Vaporizado Madrid Sociedad Limitada.,Objeto socialEngrase y lavado de vehículos.,CIFB46607727,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4520 - Mantenimiento y reparación de vehículos de motor,SectorComercio,Estado de la empresaViva,Fecha de constitución22-2-1989,Fecha último cambio10-8-2025,"Carretera madrid, 311 - km 311, chiva, 46370, valencia",962521791,,,https://empresite.eleconomista.es/LAVADO-ENGRASE-MADRID.html
L3m Construccion Urbanismo Y Servicios Sa,"Objeto socialA) servicios de gestion y asesoramiento en materia de compraventa de inmuebles por naturaleza y de compraventa y calificacion de terreno ante cualquier ente publico, siguiendo todas las fases y tramites necesarios hasta",CIFA97127203,Forma jurídicaSociedad anónima,Actividades relacionadas,Actividad CNAE3519 - Producción de energía eléctrica de otros tipos,SectorEnergía,Estado de la empresaConcurso,Fecha de constitución13-9-2001,Fecha último cambio22-6-2025,"Plaza vicente roda, 194, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/L3M-CONSTRUCCION-URBANISMO-SERVICIOS.html
Puriplast Iberica Sa,Objeto socialFabricación de laminado.,CIFA46041570,Forma jurídicaSociedad anónima,"22.29 / Fabricación de otros productos de plástico. Otras actividades: 22.21 / Fabricación de placas, hojas, tubos y perfiles de plástico, 32.99 / Otras industrias manufactureras",Actividad CNAE2229 - Fabricación de otros productos de plástico,SectorIndustria,Estado de la empresaViva,Fecha de constitución3-6-1968,Fecha último cambio13-7-2025,"Carretera madrid, km 311, chiva, 46370, valencia",962524100,,puriplast@puriplast.com,https://empresite.eleconomista.es/PURIPLAST-IBERICA.html
Andreu Tops Sl,Objeto socialFabricación y venta de mesas.,CIFB96765417,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE3109 - Fabricación de otros muebles,SectorIndustria,Estado de la empresaViva,Fecha de constitución1-12-1998,Fecha último cambio9-2-2025,"Poligono industrial la pahilla, parc 206, chiva, 46370, valencia",962521533,,andreutops@andreutops.com,https://empresite.eleconomista.es/ANDREU-TOPS.html
Tohsmi Sl (en Liquidacion),"Objeto socialLa intermediacion en el ambito de la hosteleria; la prestacion de servicios de asesoramiento en el ambito financiero y contable; la prestacion de servicios de control y recuperacion de morosidad, confeccion de facturas,",CIFB97523682,Forma jurídicaSociedad limitada,"CNAE 4619. Intermediarios del comercio de productos diversos. Si alguna de las actividades elegidas fuera de carácter profesional, la sociedad la ejercerá como mera intermediadora entre el profesional prestador del servicio y el consumidor. Quedan excluidas todas aquellas activi",Actividad CNAE4619 - Intermediarios del comercio de productos diversos,SectorComercio,Estado de la empresaDisolución,Fecha de constitución20-12-2004,,"Calle la paz, 12 - bj, chiva, 46370, valencia",,,alan@transcat.net,https://empresite.eleconomista.es/TOHSMI.html
Logistica Chiva S.l.,Objeto socialEl transporte de mercancias por carretera,CIFB97523138,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4941 - Transporte de mercancías por carretera,SectorTransportes,Estado de la empresaCierre de hoja registral,Fecha de constitución22-12-2004,,"Calle las peñas, 68 - bajo, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/LOGISTICA-CHIVA.html
Representaciones Martinez Navarro Sociedad Limitada,Objeto socialLa mediacion y comercio al por mayor de productos carnicos y productos carnicos elaborados.,CIFB96977699,Forma jurídicaSociedad limitada,"ActividadComercio al por mayor de leche, productos lácteos, miel, aceites y grasas comestibles","Actividad CNAE4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles",SectorComercio,Estado de la empresaViva,Fecha de constitución6-6-2000,Fecha último cambio17-8-2025,"Calle collao, chiva, 46370, valencia",,,info@rodrigorodrigoabogados.com,https://empresite.eleconomista.es/REPRESENTACIONES-MARTINEZ-NAVARRO.html
Exclusivas Resimart Iberica Sl,Objeto socialConstruccion de maquinas para prefabricados de hormigón.,CIFB46131918,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE2891 - Fabricación de maquinaria para la industria metalúrgica,SectorIndustria,Estado de la empresaViva,Fecha de constitución23-1-1980,Fecha último cambio31-8-2025,"Calle collao, 60, chiva, 46370, valencia",962520291,,resimart@resimart.com,https://empresite.eleconomista.es/EXCLUSIVAS-RESIMART-IBERICA.html
Bondia Salvo Sl,Objeto socialFabricacion y venta de productos de pasteleria panaderia y alimentacion.,CIFB96711072,Forma jurídicaSociedad limitada,"10.72 / Fabricación de galletas y productos de panadería y pastelería de larga duración. Otras actividades: 47.29 / Comercio al por menor de productos alimenticios en establecimientos especializados, 11.04 / Elaboración de otras bebidas no destiladas, procedentes de la fermentac",Actividad CNAE1072 - Fabricación de galletas y productos de panadería y pastelería de larga duración,SectorIndustria,Estado de la empresaViva,Fecha de constitución17-3-1998,Fecha último cambio15-12-2024,"Avenida ramon y cajal, 27, chiva, 46370, valencia",962521554,,info@bonsa.es,https://empresite.eleconomista.es/BONDIA-SALVO.html
Europea De Materias Primas Sl,Objeto socialDistribución al mayor de metales y minerales,CIFB96714886,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4672 - Comercio al por mayor de metales y minerales metálicos,SectorComercio,Estado de la empresaViva,Fecha de constitución24-2-1998,Fecha último cambio12-10-2025,"Calle urrea, 6 - 6, chiva, 46370, valencia",964342626,,administracion@euromapsa.com,https://empresite.eleconomista.es/EUROPEA-MATERIAS-PRIMAS.html
Valenciana De Gomas Sl,"Objeto socialDistribucion para carpinteria de aluminio (siliconas,...)",CIFB96441555,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4676 - Comercio al por mayor de otros productos semielaborados,SectorComercio,Estado de la empresaViva,Fecha de constitución11-8-1995,Fecha último cambio17-8-2025,"Calle fuente corachan (pg ind la pahilla ), 222, chiva, 46370, valencia",962524469,,valgom@valgom.com,https://empresite.eleconomista.es/VALENCIANA-GOMAS.html
Industrial Mora De Barnices Sl,"Objeto socialLa fabricacion y comercializacion de barnices lacas aceites pinturas, disolventes y productos quimicos",CIFB96801360,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE2030 - Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas",SectorIndustria,Estado de la empresaViva,Fecha de constitución28-1-1999,Fecha último cambio17-8-2025,"Poligono industrial la pahilla, 21, chiva, 46370, valencia",961644993,,,https://empresite.eleconomista.es/INDUSTRIAL-MORA-BARNICES.html
Juan Alarcon Hosteleros Sl,Objeto socialEl servicio de hosteleria y hospedaje.,CIFB96128301,Forma jurídicaSociedad limitada,Restaurantes y puestos de comida. CNAE. 5610,Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaViva,Fecha de constitución25-2-1993,Fecha último cambio26-10-2025,"Avenida reino de valencia, 4, chiva, 46370, valencia",962522866,,,https://empresite.eleconomista.es/JUAN-ALARCON-HOSTELEROS.html
"Porvasal, Sa (en Liquidacion)",Objeto socialFabricación de vajillas para hostelería.,CIFA46892196,Forma jurídicaSociedad anónima,Actividades relacionadas,Actividad CNAE2341 - Fabricación de artículos cerámicos de uso doméstico y ornamental,SectorIndustria,Estado de la empresaDisolución,Fecha de constitución10-5-1991,,"Carretera a-3, salida 323, chiva, 46370, valencia",962522066,,,https://empresite.eleconomista.es/PORVASAL.html
Colegio Internacional De Levante Sa,Objeto socialGestión de centro educativo desde infantil hasta bachillerato,CIFA96309323,Forma jurídicaSociedad anónima,"La formación y la enseñanza, tanto regladas como no regladas -CNAE 85.32 Educación secundaria técnica y profesional-. Otras actividades: - Orientar, formar y acompañar en la inserción a mujeres desempleadas y del medio rural o municipios despoblados. - Formar en Nuevas tecnologí.",Actividad CNAE8531 - Educación secundaria general,SectorEducación,Estado de la empresaViva,Fecha de constitución30-9-1994,Fecha último cambio15-12-2024,"Calle rio jalon, 25, chiva, 46370, valencia",961980650,,cil@sekmail.com,https://empresite.eleconomista.es/COLEGIO-INTERNACIONAL-LEVANTE.html
Crowley Investment Sociedad Anonima.,"Objeto socialA) la compraventa e intermediacion de toda clase de fincas rusticas y urbanas, la promocion y construccion sobre las mismas de toda clase de edificaciones, su rehabilitacion, venta o arrendamiento no financiero, y la con",CIFA97728364,Forma jurídicaSociedad anónima,Actividades relacionadas,Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución2-6-2006,,"Urbanizacion el bosque, 60, chiva, 46370, valencia",961318604,,,https://empresite.eleconomista.es/CROWLEY-INVESTMENT.html
Segocisternas Sl,"Objeto socialTransporte de mercancias por cuenta ajena al servicio publico.- almacenaje, deposito y distribucion de mercancias. agencia de transportes",CIFB40219164,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4941 - Transporte de mercancías por carretera,SectorTransportes,Estado de la empresaCierre de hoja registral,Fecha de constitución9-2-2007,Fecha último cambio3-8-2025,"Avenida estacion, 8 - piso 2, chiva, 46370, valencia",,,,https://empresite.eleconomista.es/SEGOCISTERNAS.html
Jose Morera Sl,"Objeto socialProducción,fabricación y comercialización de productos químicos,fitosanitarios y afines.",CIFB46030268,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE2020 - Fabricación de pesticidas y otros productos agroquímicos,SectorIndustria,Estado de la empresaViva,Fecha de constitución7-5-1965,Fecha último cambio21-9-2025,"Poligono 14, par 627, chiva, 46370, valencia",963915944,,mail@morera.com,https://empresite.eleconomista.es/JOSE-MORERA.html
Dimag Mediterranea Sl,Objeto socialComercio al por mayor de aluminio.,CIFB96164520,Forma jurídicaSociedad limitada,"46.62/ Comercio al por mayor de máquinas herramienta. Otras actividades: 77.31/ Alquiler de maquinaria y equpo de uso agrícola, 68.32/ Gestión y administración de la propiedad inmobiliaria, 41.10/ Promoción Inmobiliaria, 68.31/ Agentes de la propiedad inmobiliaria, 68.10/ Compra",Actividad CNAE4662 - Comercio al por mayor de máquinas herramienta,SectorComercio,Estado de la empresaViva,Fecha de constitución25-3-1994,Fecha último cambio31-8-2025,"Calle serretilla, 152 - 153, chiva, 46370, valencia",962524117,,administracion@dimagmediterranea.com,https://empresite.eleconomista.es/DIMAG-MEDITERRANEA.html
Electrochiva Sl,Objeto socialActividad de instalaciones y reparaciones electricas para usos urbanos e industriales.,CIFB96366901,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4321 - Instalaciones eléctricas,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución13-2-1995,Fecha último cambio10-8-2025,"Plaza la iglesia, 1 - bj, chiva, 46370, valencia",962522953,,electrochiva@hotmail.com,https://empresite.eleconomista.es/ELECTROCHIVA.html
Jatoser Sl,"Objeto socialEl estudio, promocion y construccion de toda clase de inmuebles, asi como la venta y arrendamiento no financiero de los mismos. el comercio de materiales de construccion de cualquier clase. la fabricacion de pinturas, la",CIFB46457230,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE6820 - Alquiler de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaInactiva según nuestras fuentes,Fecha de constitución14-6-1988,,"Calle domingo vela, 23, chiva, 46370, valencia",962522325,,,https://empresite.eleconomista.es/JATOSER.html
Sys Aguas Potables Calicanto Sl,Objeto socialProduccion de aguas minerales y bebidas alcoholicas,CIFB97164537,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE3600 - Captación, depuración y distribución de agua",SectorEnergía,Estado de la empresaViva,Fecha de constitución22-3-2002,Fecha último cambio14-1-2024,"Carretera cv-50 cheste a godelleta, chiva, 46370, valencia",,,administracion@abasagestion.com,https://empresite.eleconomista.es/SYS-AGUAS-POTABLES-CALICANTO.html
Construcciones Vireyco Sl,Objeto socialPromocion y construccion de pisos.,CIFB96358031,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución19-1-1995,Fecha último cambio14-9-2025,"Calle doctor nacher, 62 - 1, chiva, 46370, valencia",962522778,,,https://empresite.eleconomista.es/CONSTRUCCIONES-VIREYCO.html
Joaquin Sanchez Garcia Sl,Objeto socialVenta mayor de cereales,CIFB46560397,Forma jurídicaSociedad limitada,"ActividadComercio al por mayor de cereales, similares, plantas, abonos, sustancias fertilizante, plaguicidas, animales vivos, tab","Actividad CNAE4621 - Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales",SectorComercio,Estado de la empresaViva,Fecha de constitución22-6-1988,Fecha último cambio26-10-2025,"Carretera a-3, chiva, 46370, valencia",962520005,,logisticayservicioschiva@hotmail.com,https://empresite.eleconomista.es/JOAQUIN-SANCHEZ-GARCIA.html
