razon_social,objeto_social,cif,forma_juridica,actividad,actividad_cnae,sector,estado_empresa,fecha_constitucion,fecha_ultimo_cambio,direccion,telefono,web,email,url
Mantenimientos Guillermo Sl,"Objeto socialLa sociedad tendra por objeto, la albanileria en general, las instalaciones de fontaneria, calefaccion, instalaciones electricas, la decoracion y la terminacion de edificios y locales; las instalaciones de carpinteria me",CIFB97584312,Forma jurídicaSociedad limitada,"Actividadconstrucción completa, reparacion, conservacion de edificaciones",Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución3-6-2005,,"Poligono 22, 285, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/MANTENIMIENTOS-GUILLERMO.html
Credicasa Gestion Financiera Sl,Objeto socialLa adquisicion y enajenacion por cuenta propia o ajena de fincas rusticas y urbanas,CIFB97533798,Forma jurídicaSociedad limitada,"41.10 / Promoción inmobiliaria. Otras actividades: 55.20 / Alojamientos turísticos y otros alojamientos de corta estancia, 90.01 / Artes escénicas, 81.29 / Otras actividades de limpieza, 77.34 / Alquiler de medios de navegación, 41.21 / Construcción de edificios residenciales, 4",Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución1-3-2005,,"Calle nou, 18, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/CREDICASA-GESTION-FINANCIERA.html
Logistics Environmental Company Sl,"Objeto socialLa recuperacion y comercio de residuos fuera de establecimiento permanente. el transporte por carretera de residuos de automocion y aceites usados. el transporte por carretera de todo tipo de mercancias, incluidas las de",CIFB97329171,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4941 - Transporte de mercancías por carretera,SectorTransportes,Estado de la empresaViva,Fecha de constitución5-6-2003,Fecha último cambio19-11-2023,"Pasaje l'horta, 6 - 4 14, picassent, 46220, valencia",641446220,,admon@lnmc.es,https://empresite.eleconomista.es/GESTION-RESIDUOS-SALINAS.html
Material Actual Sl,Objeto socialLa compra venta y suministro de todo tipo de materiales de construccion y decoracion. la realizacion de todo tipo de obras de construccion.,CIFB96719091,Forma jurídicaSociedad limitada,"46.73. Compra-venta de materiales para la construcción. 41.21. Construcción de edificios residenciales. Otras actividades: Construcción de edificios no residenciales. Otros trabajos de construcción. Construcción de cubiertas y de estructuras de cerramiento. Aislamiento térmico,","Actividad CNAE4673 - Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución26-3-1998,,"Avenida principal, s/n, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/MATERIAL-ACTUAL.html
Maquinas Y Herramientas Madereras Sociedad Limitada.,Objeto socialConstruccion de maquinas para trabajar la madera y el corcho.,CIFB97002067,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE2896 - Fabricación de maquinaria para las industrias del plástico y del caucho,SectorIndustria,Estado de la empresaViva,Fecha de constitución6-10-2000,Fecha último cambio26-10-2025,"Partida la terrabona, 78, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/MAQUINAS-HERRAMIENTAS-MADERERAS.html
Cafes Manati Sl.,"Objeto socialLa importacion, elaboracion y venta de cafe, cacao, azucar, infusiones y productos alimenticios",CIFB97464242,Forma jurídicaSociedad limitada,Actividades relacionadas,"Actividad CNAE4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución7-9-2004,,"Calle sant joan de ribera, 3, picassent, 46220, valencia",961230800,,,https://empresite.eleconomista.es/CAFES-MANATI.html
Bar Feblas Picassent Sl,"Objeto socialLa actividad de hosteleria y restauracion mediante la explotacion de bares, restaurantes cafeterias, hoteles y hostales.",CIFB96365143,Forma jurídicaSociedad limitada,"1. Gestión y explotación de la actividad de restauración, gastronomía y cocina en restaurantes, cafeterías, Kioscos, heladerías. Su Código Nacional de Actividades Económicas (CNAE) es 5610. Otras Actividades: 2. Actividades de desarrollo en la promoción y la gestión de hotele",Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaViva,Fecha de constitución13-2-1995,Fecha último cambio19-1-2026,"Urbanizacion tancat de l'alter, 79, picassent, 46220, valencia",961241530,,,https://empresite.eleconomista.es/BAR-FEBLAS-PICASSENT.html
Ferrallas Catarroja Sl,"Objeto socialLa manipulacion y comercializacion de componentes para la construccion, compuestos de hierro, asi como la instalacion de los mismos",CIFB97353452,Forma jurídicaSociedad limitada,"46.73. Compra-venta de materiales para la construcción. 41.21. Construcción de edificios residenciales. Otras actividades: Construcción de edificios no residenciales. Otros trabajos de construcción. Construcción de cubiertas y de estructuras de cerramiento. Aislamiento térmico,","Actividad CNAE4673 - Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",SectorComercio,Estado de la empresaViva,Fecha de constitución20-8-2003,Fecha último cambio31-8-2025,"Calle 10 poligono industrial codonyers, 804 - b, picassent, 46220, valencia",961268111,,,https://empresite.eleconomista.es/FERRALLAS-CATARROJA.html
Ahumados Fish Line Sl,Objeto socialAhumadores de pescados y comercialización de pescados y otros productos de pesca y de la acuicultura.,CIFB96362900,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE1022 - Fabricación de conservas de pescado,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución22-2-1995,Fecha último cambio10-8-2025,"Poligono industrial, 1 - par d 5 naves 2 6, picassent, 46220, valencia",961231316,,fish-line@fish-line.es,https://empresite.eleconomista.es/AHUMADOS-FISH-LINE.html
Exportaciones Aguado Sl,"Objeto socialComercialización y exportación de cítricos, principalmente naranjas.",CIFB46902094,Forma jurídicaSociedad limitada,"46.31 / Comercio al por mayor de frutas y verduras. Actividades adicionales: 10.39 / Otro procesado y conservación de frutas y hortalizas. Si alguna de las actividades elegidas fuere de carácter profesional, la sociedad la ejercerá como mera intermediadora entre el profesional p.",Actividad CNAE4631 - Comercio al por mayor de frutas y hortalizas,SectorComercio,Estado de la empresaViva,Fecha de constitución3-6-1991,Fecha último cambio7-9-2025,"Calle nou, 7, picassent, 46220, valencia",964660006,,info@exportacionesaguado.com,https://empresite.eleconomista.es/EXPORTACIONES-AGUADO.html
Amavane Sl,Objeto socialLa explotacion de bar-cafeteria y salon de billares.,CIFB96807458,Forma jurídicaSociedad limitada,ACTIVIDADES RELACIONADAS CON LA HOSTELERIA Y RESTAURACION Y COMERCIO AL POR MENOR,Actividad CNAE5630 - Establecimientos de bebidas,SectorHostelería,Estado de la empresaIncumplimiento de la obligación de depósito de cuentas,Fecha de constitución17-2-1999,Fecha último cambio18-2-2024,"Avenida aureli guaita i martorell, 9, picassent, 46220, valencia",961240990,,,https://empresite.eleconomista.es/AMAVANE.html
Gomar Maporta Sociedad Limitada.,Objeto socialLa realizacion de instalaciones electricas y el mantenimiento y reparacion de las mismas y maquinaria,CIFB97338792,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4321 - Instalaciones eléctricas,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución8-7-2003,,"Poligono 1, 10 - par, picassent, 46220, valencia",,,administracion@gomarmaporta.com,https://empresite.eleconomista.es/GOMAR-MAPORTA.html
Viveros Devadillo Sl,"Objeto socialCompra venta de cereales, simientes plantas, abonos, sustancias fertilizantes. plaguicidas, productos fitosanitarios y articulos relacionados con la jardineria y floristeria. adquisicion de esquejes, semillas, plantas y",CIFB96272471,Forma jurídicaSociedad limitada,Actividades de apoyo a la agricultura,Actividad CNAE0161 - Actividades de apoyo a la agricultura,SectorAgricultura,Estado de la empresaViva,Fecha de constitución17-5-1994,Fecha último cambio24-8-2025,"Carretera silla alborache, picassent, 46220, valencia",,,amartinez@tramave.com,https://empresite.eleconomista.es/VIVEROS-DEVADILLO.html
Chigra Mobiliarios S.l.,"Objeto socialFabricacion, comercializacion y compraventa de todo tipo de muebles y piezas de madera.",CIFB96938196,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE3109 - Fabricación de otros muebles,SectorIndustria,Estado de la empresaPosiblemente inactiva,Fecha de constitución23-2-2000,,"Calle 1, picassent, 46220, valencia",961242477,,,https://empresite.eleconomista.es/CHIGRA-MOBILIARIOS.html
Reformas De Albanileria Vicerto Sll.,Objeto socialLa sociedad tendra por objeto la albanileria y pequenos trabajos de construccion en general,CIFB97302988,Forma jurídicaSociedad limitada laboral,Actividades relacionadas,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaIncumplimiento de la obligación de depósito de cuentas,Fecha de constitución5-5-2003,,"Avenida sud, 55 - 2 6, picassent, 46220, valencia",961171855,,,https://empresite.eleconomista.es/REFORMAS-ALBANILERIA-VICERTO.html
Aguacara Gestion Sl,"Objeto socialA) toda actividad inmobiliaria y de construccion, entendida en su mas amplia acepcion. b) la realizacion de estudios y prestacion de asesoramiento sobre operaciones mercantiles, industriales, inmobiliarias, financieras y",CIFB97331565,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE6820 - Alquiler de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución10-7-2003,Fecha último cambio7-12-2025,"Calle torres, 6, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/AGUACARA-GESTION.html
Morandi Quality Home's Design Sociedad Limitada.,Objeto socialLa venta y comercializacion de muebles,CIFB97367296,Forma jurídicaSociedad limitada,"actividades de apoyo a la agricultura; silvicultura y otras actividades forestales; recolección de productos silvestres, excepto madera; servicios de apoyo a la silvicultura; comercio al por mayor de frutas y hortalizas; comercio al por menor en establecimientos no especializados, con predominio en.","Actividad CNAE4647 - Comercio al por mayor de muebles, alfombras y aparatos de iluminación",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución14-10-2003,,"Avenida nord, 27, picassent, 46220, valencia",961222972,,,https://empresite.eleconomista.es/MORANDI-QUALITY-HOMES-DESIGN.html
Moldumarc Levante Sl,"Objeto socialLa fabricacion de muebles, molduras, marcos, puertas y objetos diversos de madera y sus derivados",CIFB97493654,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE1622 - Fabricación de suelos de madera ensamblados,SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución28-9-2004,,"Urbanizacion tancat de l'alter, 13 - 5, picassent, 46220, valencia",961221189,,,https://empresite.eleconomista.es/MOLDUMARC-LEVANTE.html
Openagro Sl,Objeto socialComercio al por mayor de productos fitosanitarios.,CIFB97188445,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE4675 - Comercio al por mayor de productos químicos,SectorComercio,Estado de la empresaViva,Fecha de constitución8-4-2002,Fecha último cambio5-10-2025,"Calle la sequia, 95, picassent, 46220, valencia",961241177,,oficina@jmopenagro.com,https://empresite.eleconomista.es/OPENAGRO.html
Mecanizados Perma Sl,Objeto socialMecanizado de piezas,CIFB97281000,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4664 - Comercio al por mayor de maquinaria para la industria textil y de máquinas de coser y tricotar,SectorComercio,Estado de la empresaViva,Fecha de constitución13-2-2003,Fecha último cambio31-8-2025,"Poligono industrial cañada de codonyers, c/ 10, picassent, 46220, valencia",961201056,,info@perma.es,https://empresite.eleconomista.es/MECANIZADOS-PERMA.html
Adrian Cuco Sl,"Objeto socialPromociones inmobiliarias, compraventa y administracion de fincas, rusticas o urbanas. compra de edificios para su rehabilitacion. asesoramiento y gestion en materia hipotecaria e inmobiliaria. planificacion, urbanizacio",CIFB97530216,Forma jurídicaSociedad limitada,"41.10 / Promoción inmobiliaria. Otras actividades: 55.20 / Alojamientos turísticos y otros alojamientos de corta estancia, 90.01 / Artes escénicas, 81.29 / Otras actividades de limpieza, 77.34 / Alquiler de medios de navegación, 41.21 / Construcción de edificios residenciales, 4",Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaIncumplimiento de la obligación de depósito de cuentas,Fecha de constitución25-1-2005,Fecha último cambio2-3-2025,"Avenida de l'om, 2 - 5, picassent, 46220, valencia",961233604,,,https://empresite.eleconomista.es/ADRIAN-CUCO.html
Coval Petrol Sl,Objeto socialDistribución y venta al mayor,CIFB96798657,Forma jurídicaSociedad limitada unipersonal,Comercio al por mayor de repuestos y accesorios de vehículos de motor. Siendo el código de clasificación nacional de actividades económicas (C.N.A.E.) de la actividad principal el 45.31. Otras actividades: Venta de automóviles y vehículos de motor ligeros; Mantenimiento y,Actividad CNAE4531 - Comercio al por mayor de repuestos y accesorios de vehículos de motor,SectorComercio,Estado de la empresaViva,Fecha de constitución12-11-1998,Fecha último cambio2-11-2025,"Poligono 7, 3, picassent, 46220, valencia",961222379,,coval@covalpetrol.es,https://empresite.eleconomista.es/COVAL-PETROL.html
Sensamobel Sl,Objeto socialComercio al por mayor y detall de muebles y articulos auxiliares para el mueble.,CIFB97122006,Forma jurídicaSociedad limitada,ACTIVIDADES PROPIAS DE UNA GALERIA DE ARTE Y EL COMERCIO DE OBRAS DE ARTE Y DE MUEBLES DE TODOS LOS ESTILOS.,"Actividad CNAE4759 - Comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados",SectorComercio,Estado de la empresaCierre de hoja registral,Fecha de constitución20-6-2002,,"Calle sant cristofor, 36 - 7, picassent, 46220, valencia",963964328,,,https://empresite.eleconomista.es/SENSAMOBEL.html
Ramervi Sl,"Objeto socialLa sociedad tendra por objeto. toda actividad inmobiliaria y de construccion entendida en su mas amplia acepcion, pudiendo explotar comercialmente, y por cualquier titulo o negocio juridico los inmuebles que posea. adema",CIFB97143895,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE6820 - Alquiler de bienes inmobiliarios por cuenta propia,SectorConstrucción y actividades inmobiliarias,Estado de la empresaViva,Fecha de constitución13-12-2001,Fecha último cambio7-7-2024,"Calle nou, 23 - planta 1, picassent, 46220, valencia",961232361,,,https://empresite.eleconomista.es/RAMERVI.html
Semillas Diago Sl,Objeto socialDistribución al mayor y al menor de productos de horticultura y bricojardineria.,CIFB46282646,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4675 - Comercio al por mayor de productos químicos,SectorComercio,Estado de la empresaViva,Fecha de constitución1-10-1985,Fecha último cambio7-9-2025,"Calle florida camino de la coma, s/n, picassent, 46220, valencia",961233080,,info@diago.es,https://empresite.eleconomista.es/SEMILLAS-DIAGO.html
Servicios Integrales Tecnicos Agricolas Sl,"los servicios tecnicos agricolas, mantenimiento y diseño de jardines y de explotaciones agricolas y ganaderas, suministro de todo tipo de productos y materiales agricolas. venta e instalacion de riego por goteo y mantenimiento y control de aguas. mantenimiento, cria, re.",CIFB97414932,Forma jurídicaSociedad limitada unipersonal,Actividades de apoyo a la agricultura,Actividad CNAE0161 - Actividades de apoyo a la agricultura,SectorAgricultura,Estado de la empresaViva,Fecha de constitución18-3-2004,Fecha último cambio24-8-2025,"Calle san jose, 2 - 1, picassent, 46220, valencia",,,enriquetronchoni@icav.es,https://empresite.eleconomista.es/SERVICIOS-INTEGRALES-TECNICOS-AGRICOLAS.html
Edico Picassent Sociedad Limitada,"Objeto socialLa adquisicion, venta y permuta de bienes inmuebles de naturaleza rustica y urbana, tanto de uso y destino comercial o industrial, como de viviendas y terrenos, su urbanizacion y reparcelacion, la promocion, construccion",CIFB97252340,Forma jurídicaSociedad limitada,Actividades relacionadas,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución17-12-2002,,"Calle sant joan, 11, picassent, 46220, valencia",961232539,,,https://empresite.eleconomista.es/EDICO-PICASSENT.html
Senyors Valencians Sl,"Objeto socialA). la compraventa incluso en subastas de cualquier tipo, tenencia, disfrute, administracion y explotacion de toda clase de terrenos, bienes inmuebles urbanos, rusticos o industriales, excepto el arrendamiento financiero",CIFB97395016,Forma jurídicaSociedad limitada,"41.10 / Promoción inmobiliaria. Otras actividades: 55.20 / Alojamientos turísticos y otros alojamientos de corta estancia, 90.01 / Artes escénicas, 81.29 / Otras actividades de limpieza, 77.34 / Alquiler de medios de navegación, 41.21 / Construcción de edificios residenciales, 4",Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaInactiva según nuestras fuentes,Fecha de constitución13-1-2004,Fecha último cambio21-9-2025,"Calle atzavara, 5 - bj, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/SENYORS-VALENCIANS.html
Pasamanerias Valero Sociedad Limitada.,"Objeto socialFabricacion, comercializacion y venta al por mayor y menor de toda clase de articulos de pasamaneria,",CIFB97172613,Forma jurídicaSociedad limitada,"ActividadFabricación fieltros,tules,encajes, pasamanería.. etc","Actividad CNAE1395 - Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir",SectorIndustria,Estado de la empresaCierre de hoja registral,Fecha de constitución8-3-2002,,"Calle mestre chapi, 6, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/PASAMANERIAS-VALERO.html
Meson Fidemar Sl,"Objeto socialLa realizacion de las actividades de cafeteria, bar y otros servicios de alimentacion propios de la restauracion como es la preparacion de comidas para llevar, asi como el transporte de mercancias por carretera.",CIFB96790134,Forma jurídicaSociedad limitada,"1. Gestión y explotación de la actividad de restauración, gastronomía y cocina en restaurantes, cafeterías, Kioscos, heladerías. Su Código Nacional de Actividades Económicas (CNAE) es 5610. Otras Actividades: 2. Actividades de desarrollo en la promoción y la gestión de hotele",Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaCierre de hoja registral,Fecha de constitución5-11-1998,,"Calle mestre serrano, 4, picassent, 46220, valencia",961241385,,,https://empresite.eleconomista.es/MESON-FIDEMAR.html
Construccions Santiago Y Jorge Sociedad Limitada Laboral,"Objeto socialLa promocion, construccion y compraventa de toda clase de bienes inmuebles",CIFB97319297,Forma jurídicaSociedad limitada laboral,"41.10 / Promoción inmobiliaria. Otras actividades: 55.20 / Alojamientos turísticos y otros alojamientos de corta estancia, 90.01 / Artes escénicas, 81.29 / Otras actividades de limpieza, 77.34 / Alquiler de medios de navegación, 41.21 / Construcción de edificios residenciales, 4",Actividad CNAE4110 - Promoción inmobiliaria,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución26-6-2003,,"Calle bonavista, 44 - 4 7, picassent, 46220, valencia",444746220,,,https://empresite.eleconomista.es/CONSTRUCCIONS-SANTIAGO-JORGE.html
Ecologic Partner S.l.,cnae 3811. recogida de residuos no peligrosos. y además: cnae 3812. recogida de residuos peligrosos. cnae 3821. tratamiento y eliminación de residuos no peligrosos. cnae 3822. tratamiento y eliminación de residuos peligrosos. cnae 4677. comercio al por ma.,CIFB96992185,Forma jurídicaSociedad limitada unipersonal,Actividades relacionadas,Actividad CNAE3811 - Recogida de residuos no peligrosos,SectorEnergía,Estado de la empresaViva,Fecha de constitución11-7-2000,Fecha último cambio2-11-2025,"Poligono industrial la coma, parc. 33, picassent, 46220, valencia",962565858,,ecologic@ecologicpartner.com,https://empresite.eleconomista.es/ECOLOGIC-PARTNER.html
Construcciones Cabrera Y Gilabert S.l.,"Objeto socialLa construccion y promocion de obras urbanas e industriales, asi. como reformas de albanileria en general",CIFB97536197,Forma jurídicaSociedad limitada,ActividadEdificación y obra civil,Actividad CNAE4121 - Construcción de edificios residenciales,SectorConstrucción y actividades inmobiliarias,Estado de la empresaCierre de hoja registral,Fecha de constitución17-2-2005,,"Calle mestre chapi, 2 - bj, picassent, 46220, valencia",961241668,,,https://empresite.eleconomista.es/CONSTRUCCIONES-CABRERA-GILABERT.html
Manuel Parra Guerrero Sociedad Limitada.,"Objeto socialLa explotación de negocios de hostelería y restauración, tales como restaurantes, bares, cafeterías, servicios de comida para llevar, catering",CIFB22653265,Forma jurídicaSociedad limitada unipersonal,"1. Gestión y explotación de la actividad de restauración, gastronomía y cocina en restaurantes, cafeterías, Kioscos, heladerías. Su Código Nacional de Actividades Económicas (CNAE) es 5610. Otras Actividades: 2. Actividades de desarrollo en la promoción y la gestión de hotele",Actividad CNAE5610 - Restaurantes y puestos de comidas,SectorHostelería,Estado de la empresaViva,Fecha de constitución10-7-2025,,"Avenida nord, 39, picassent, 46220, valencia",,,,https://empresite.eleconomista.es/MANUEL-PARRA-GUERRERO.html
