cnae;descripcion;puntuacion;motivo
164;Tratamiento de semillas para reproducción;4;Riesgo medio-bajo, tratamientos que pueden involucrar productos químicos.
164;Tratamiento de semillas para reproducción;4;Riesgo medio-bajo, tratamientos que pueden involucrar productos químicos.
164;Tratamiento de semillas para reproducción;4;Riesgo medio-bajo, tratamientos que pueden involucrar productos químicos.
170;Caza, captura de animales y servicios relacionados con las mismas;2;Riesgo bajo, caza relacionada sin implicaciones significativas de vertidos.
170;Caza, captura de animales y servicios relacionados con las mismas;2;Riesgo bajo, caza relacionada sin implicaciones significativas de vertidos.
170;Caza, captura de animales y servicios relacionados con las mismas;2;Riesgo bajo, caza relacionada sin implicaciones significativas de vertidos.
210;Silvicultura y otras actividades forestales;2;Riesgo bajo, actividades forestales con poco contacto con productos contaminantes.
210;Silvicultura y otras actividades forestales;2;Riesgo bajo, actividades forestales con poco contacto con productos contaminantes.
220;Explotación de la madera;4;Riesgo medio-bajo debido al manejo de residuos madereros.
230;Recolección de productos silvestres, excepto madera;2;Riesgo bajo, recolección de productos silvestres sin manipulación significativa.
230;Recolección de productos silvestres, excepto madera;2;Riesgo bajo, recolección de productos silvestres sin manipulación significativa.
230;Recolección de productos silvestres, excepto madera;2;Riesgo bajo, recolección de productos silvestres sin manipulación significativa.
240;Servicios de apoyo a la silvicultura;2;Riesgo bajo, servicios de apoyo a la silvicultura sin generación de residuos peligrosos.
240;Servicios de apoyo a la silvicultura;2;Riesgo bajo, servicios de apoyo a la silvicultura sin generación de residuos peligrosos.
311;Pesca marina;4;Riesgo medio-bajo por el manejo de residuos generados en la pesca.
312;Pesca en agua dulce;4;Riesgo medio-bajo por el manejo de residuos generados en la pesca.
321;Acuicultura marina;4;Riesgo medio-bajo por el manejo de residuos generados en la acuicultura.
322;Acuicultura en agua dulce;4;Riesgo medio-bajo por el manejo de residuos generados en la acuicultura.
322;Acuicultura en agua dulce;6;La acuicultura puede generar vertidos que afecten la calidad del agua.
510;Extracción de antracita y hulla;10;La extracción de carbón puede generar residuos peligrosos y contaminantes.
510;Extracción de antracita y hulla;10;La extracción de carbón puede generar residuos peligrosos y contaminantes.
510;Extracción de antracita y hulla;10;La extracción de carbón puede generar residuos peligrosos y contaminantes.
520;Extracción de lignito;10;La extracción de lignito puede conllevar riesgos de contaminación significativa.
610;Extracción de crudo de petróleo;10;La extracción de petróleo puede provocar vertidos altamente contaminantes.
620;Extracción de gas natural;10;La extracción de gas natural puede implicar fugas y riesgo de contaminación.
710;Extracción de minerales de hierro;8;La extracción de minerales de hierro puede causar residuos y contaminación.
721;Extracción de minerales de uranio y torio;10;La extracción de minerales radiactivos conlleva riesgos ambientales altos.
729;Extracción de otros minerales metálicos no férreos;8;La extracción de minerales metálicos puede generar residuos peligrosos.
729;Extracción de otros minerales metálicos no férreos;8;La extracción de minerales metálicos puede generar residuos peligrosos.
729;Extracción de otros minerales metálicos no férreos;8;La extracción de minerales metálicos puede generar residuos peligrosos.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
811;Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra;6;La extracción de piedra puede generar sedimentación y impacto ambiental.
812;Extracción de gravas y arenas, extracción de arcilla y caolín;8;La extracción de gravas y arenas puede provocar erosión y contaminación del agua.
812;Extracción de gravas y arenas, extracción de arcilla y caolín;8;La extracción de gravas y arenas puede provocar erosión y contaminación del agua.
812;Extracción de gravas y arenas, extracción de arcilla y caolín;8;La extracción de gravas y arenas puede provocar erosión y contaminación del agua.
891;Extracción de minerales para productos químicos y fertilizantes;10;La extracción de minerales para productos químicos puede generar residuos peligrosos.
891;Extracción de minerales para productos químicos y fertilizantes;10;La extracción de minerales para productos químicos puede generar residuos peligrosos.
891;Extracción de minerales para productos químicos y fertilizantes;10;La extracción de minerales para productos químicos puede generar residuos peligrosos.
891;Extracción de minerales para productos químicos y fertilizantes;10;La extracción de minerales para productos químicos puede generar residuos peligrosos.
891;Extracción de minerales para productos químicos y fertilizantes;10;La extracción de minerales para productos químicos puede generar residuos peligrosos.
892;Extracción de turba;6;La extracción de turba puede impactar en la calidad del agua.
893;Extracción de sal;8;La extracción de sal puede generar efectos negativos en el medio ambiente.
893;Extracción de sal;8;La extracción de sal puede generar efectos negativos en el medio ambiente.
899;Otras industrias extractivas n.c.o.p.;8;Actividades extractivas suelen generar vertidos de residuos y contaminantes.
899;Otras industrias extractivas n.c.o.p.;8;Actividades extractivas suelen generar vertidos de residuos y contaminantes.
910;Actividades de apoyo a la extracción de petróleo y gas natural;10;Apoyo a extracción de petróleo y gas puede involucrar vertidos peligrosos.
910;Actividades de apoyo a la extracción de petróleo y gas natural;10;Apoyo a extracción de petróleo y gas puede involucrar vertidos peligrosos.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;6;Actividades de apoyo a industrias extractivas pueden generar residuos contaminantes.
990;Actividades de apoyo a otras industrias extractivas;8;Las actividades de apoyo a industrias extractivas pueden generar vertidos con sustancias contaminantes.
990;Actividades de apoyo a otras industrias extractivas;8;Las actividades de apoyo a industrias extractivas pueden generar vertidos con sustancias contaminantes.
990;Actividades de apoyo a otras industrias extractivas;8;Las actividades de apoyo a industrias extractivas pueden generar vertidos con sustancias contaminantes.
1011;Procesado y conservación de carne;6;El procesado y conservación de carne genera subproductos y residuos potencialmente contaminantes.
1011;Procesado y conservación de carne;6;El procesado y conservación de carne genera subproductos y residuos potencialmente contaminantes.
1012;Procesado y conservación de volatería;6;El procesado de volatería puede generar residuos orgánicos y desechos contaminantes.
1013;Elaboración de productos cárnicos y de volatería;6;La elaboración de productos cárnicos puede generar vertidos contaminantes debido a su naturaleza.
1021;Procesado de pescados, crustáceos y moluscos;6;El procesado de pescados, crustáceos y moluscos genera residuos que pueden contaminar el agua.
1021;Procesado de pescados, crustáceos y moluscos;6;El procesado de pescados, crustáceos y moluscos genera residuos que pueden contaminar el agua.
1022;Fabricación de conservas de pescado;6;La fabricación de conservas de pescado puede generar residuos y vertidos contaminantes.
1031;Procesado y conservación de patatas;4;El procesado y conservación de patatas genera residuos, pero menos contaminantes.
1032;Elaboración de zumos de frutas y hortalizas;4;La elaboración de zumos de frutas y hortalizas puede generar algunos desechos, pero es de riesgo medio-bajo.
1032;Elaboración de zumos de frutas y hortalizas;4;La elaboración de zumos de frutas y hortalizas puede generar algunos desechos, pero es de riesgo medio-bajo.
1039;Otro procesado y conservación de frutas y hortalizas;4;El procesado y conservación de frutas y hortalizas tiene un riesgo bajo de generar vertidos contaminantes.
1039;Otro procesado y conservación de frutas y hortalizas;4;El procesado y conservación de frutas y hortalizas tiene un riesgo bajo de generar vertidos contaminantes.
1039;Otro procesado y conservación de frutas y hortalizas;4;El procesado y conservación de frutas y hortalizas tiene un riesgo bajo de generar vertidos contaminantes.
1039;Otro procesado y conservación de frutas y hortalizas;4;El procesado y conservación de frutas y hortalizas tiene un riesgo bajo de generar vertidos contaminantes.
1039;Otro procesado y conservación de frutas y hortalizas;4;El procesado y conservación de frutas y hortalizas tiene un riesgo bajo de generar vertidos contaminantes.
1042;Fabricación de margarina y grasas comestibles similares;6;La fabricación de margarina y grasas puede generar residuos con potencial de contaminación.
1043;Fabricación de aceite de oliva;6;La fabricación de aceite de oliva implica procesos que pueden generar vertidos contaminantes.
1043;Fabricación de aceite de oliva;6;La fabricación de aceite de oliva implica procesos que pueden generar vertidos contaminantes.
1043;Fabricación de aceite de oliva;6;La fabricación de aceite de oliva implica procesos que pueden generar vertidos contaminantes.
1044;Fabricación de otros aceites y grasas;6;La fabricación de otros aceites y grasas puede generar residuos y vertidos no deseados.
1044;Fabricación de otros aceites y grasas;6;La fabricación de otros aceites y grasas puede generar residuos y vertidos no deseados.
1044;Fabricación de otros aceites y grasas;6;La fabricación de otros aceites y grasas puede generar residuos y vertidos no deseados.
1052;Elaboración de helados;4;La elaboración de helados tiene un riesgo bajo de generar vertidos contaminantes.
1053;Fabricación de quesos;6;La fabricación de quesos puede involucrar procesos que generan residuos contaminantes.
1054;Preparación de leche y otros productos lácteos;6;La preparación de leche y otros productos lácteos puede generar residuos potencialmente contaminantes.
1054;Preparación de leche y otros productos lácteos;6;La preparación de leche y otros productos lácteos puede generar residuos potencialmente contaminantes.
1061;Fabricación de productos de molinería;4;La fabricación de productos de molinería tiene un riesgo bajo de generar vertidos contaminantes.
1061;Fabricación de productos de molinería;6;Fabricación de productos de molinería implica procesos que pueden generar vertidos de materia orgánica.
1061;Fabricación de productos de molinería;6;Fabricación de productos de molinería implica procesos que pueden generar vertidos de materia orgánica.
1062;Fabricación de almidones y productos amiláceos;6;Fabricación de almidones y productos amiláceos puede generar residuos que impacten el saneamiento.
1071;Fabricación de pan y de productos frescos de panadería y pastelería;6;Fabricación de pan y productos de panadería puede generar residuos que afecten al alcantarillado.
1071;Fabricación de pan y de productos frescos de panadería y pastelería;6;Fabricación de pan y productos de panadería puede generar residuos que afecten al alcantarillado.
1072;Fabricación de galletas y productos de panadería y pastelería de larga duración;6;Fabricación de galletas y productos de panadería implica procesos que pueden generar residuos.
1072;Fabricación de galletas y productos de panadería y pastelería de larga duración;6;Fabricación de galletas y productos de panadería implica procesos que pueden generar residuos.
1073;Fabricación de pastas alimenticias, cuscús y productos similares;6;Fabricación de pastas alimenticias puede generar residuos orgánicos que afectan el saneamiento.
1081;Fabricación de azúcar;6;Fabricación de azúcar puede generar subproductos que impacten el sistema de saneamiento.
1082;Fabricación de cacao, chocolate y productos de confitería;6;Fabricación de cacao, chocolate y productos de confitería puede generar residuos que afecten al alcantarillado.
1082;Fabricación de cacao, chocolate y productos de confitería;6;Fabricación de cacao, chocolate y productos de confitería puede generar residuos que afecten al alcantarillado.
1083;Elaboración de café, té e infusiones;6;Elaboración de café, té e infusiones puede generar residuos que impacten el sistema de saneamiento.
1084;Elaboración de especias, salsas y condimentos;6;Elaboración de especias, salsas y condimentos puede generar residuos que afecten al alcantarillado.
1084;Elaboración de especias, salsas y condimentos;6;Elaboración de especias, salsas y condimentos puede generar residuos que afecten al alcantarillado.
1084;Elaboración de especias, salsas y condimentos;6;Elaboración de especias, salsas y condimentos puede generar residuos que afecten al alcantarillado.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1085;Elaboración de platos y comidas preparados;6;Elaboración de platos y comidas preparados puede generar residuos que impacten el sistema de saneamiento.
1086;Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos;6;Elaboración de preparados alimenticios homogeneizados puede generar residuos que afecten al alcantarillado.
1086;Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos;6;Elaboración de preparados alimenticios homogeneizados puede generar residuos que afecten al alcantarillado.
1089;Elaboración de otros productos alimenticios n.c.o.p.;6;Elaboración de otros productos alimenticios n.c.o.p. puede generar residuos que impacten el saneamiento.
1089;Elaboración de otros productos alimenticios n.c.o.p.;6;Elaboración de otros productos alimenticios n.c.o.p. puede generar residuos que impacten el saneamiento.
1089;Elaboración de otros productos alimenticios n.c.o.p.;6;Elaboración de otros productos alimenticios n.c.o.p. puede generar residuos que impacten el saneamiento.
1089;Elaboración de otros productos alimenticios n.c.o.p.;6;Elaboración de otros productos alimenticios n.c.o.p. puede generar residuos que impacten el saneamiento.
1091;Fabricación de productos para la alimentación de animales de granja;6;Fabricación de productos para la alimentación de animales de granja puede generar residuos que afecten al alcantarillado.
1092;Fabricación de productos para la alimentación de animales de compañía;6;Fabricación de productos para la alimentación de animales de compañía puede generar residuos que afecten al alcantarillado.
1101;Destilación, rectificación y mezcla de bebidas alcohólicas;6;La destilación y mezcla de bebidas alcohólicas puede generar vertidos contaminantes.
1101;Destilación, rectificación y mezcla de bebidas alcohólicas;6;La destilación y mezcla de bebidas alcohólicas puede generar vertidos contaminantes.
1101;Destilación, rectificación y mezcla de bebidas alcohólicas;6;La destilación y mezcla de bebidas alcohólicas puede generar vertidos contaminantes.
1101;Destilación, rectificación y mezcla de bebidas alcohólicas;6;La destilación y mezcla de bebidas alcohólicas puede generar vertidos contaminantes.
1102;Elaboración de vinos;6;La elaboración de vinos implica procesos que pueden producir residuos.
1102;Elaboración de vinos;6;La elaboración de vinos implica procesos que pueden producir residuos.
1102;Elaboración de vinos;6;La elaboración de vinos implica procesos que pueden producir residuos.
1102;Elaboración de vinos;6;La elaboración de vinos implica procesos que pueden producir residuos.
1103;Elaboración de sidra y otras bebidas fermentadas a partir de frutas;4;La elaboración de sidra y otras bebidas fermentadas genera residuos orgánicos.
1104;Elaboración de otras bebidas no destiladas, procedentes de la fermentación;4;La elaboración de bebidas no destiladas puede producir residuos líquidos.
1105;Fabricación de cerveza;6;La fabricación de cerveza puede generar vertidos con contaminantes orgánicos.
1106;Fabricación de malta;4;El proceso de fabricación de malta puede generar residuos orgánicos.
1107;Fabricación de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas;4;La fabricación de bebidas no alcohólicas puede generar residuos contaminantes.
1107;Fabricación de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas;4;La fabricación de bebidas no alcohólicas puede generar residuos contaminantes.
1200;Industria del tabaco;6;La industria del tabaco puede generar residuos contaminantes.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1310;Preparación e hilado de fibras textiles;4;La preparación e hilado de fibras textiles puede producir residuos líquidos.
1320;Fabricación de tejidos textiles;4;La fabricación de tejidos textiles puede generar residuos líquidos.
1320;Fabricación de tejidos textiles;4;La fabricación de tejidos textiles puede generar residuos líquidos.
1320;Fabricación de tejidos textiles;4;La fabricación de tejidos textiles puede generar residuos líquidos.
1320;Fabricación de tejidos textiles;4;La fabricación de tejidos textiles puede generar residuos líquidos.
1320;Fabricación de tejidos textiles;4;La fabricación de tejidos textiles puede generar residuos líquidos.
1320;Fabricación de tejidos textiles;4;La fabricación de tejidos textiles puede generar residuos líquidos.
1330;Acabado de textiles;4;El acabado de textiles puede producir residuos líquidos o contaminantes.
1330;Acabado de textiles;4;El acabado de textiles puede producir residuos líquidos o contaminantes.
1330;Acabado de textiles;4;El acabado de textiles puede implicar el uso de productos químicos menos peligrosos.
1391;Fabricación de tejidos de punto;4;La fabricación de tejidos de punto presenta un riesgo medio-bajo por posibles vertidos de tintes.
1392;Fabricación de artículos confeccionados con textiles, excepto prendas de vestir;4;La confección con textiles puede generar residuos, pero en general son de bajo riesgo.
1393;Fabricación de alfombras y moquetas;4;El riesgo es medio-bajo debido a procesos de fabricación que pueden involucrar tintes.
1394;Fabricación de cuerdas, cordeles, bramantes y redes;2;La fabricación de cuerdas y cordeles tiene un riesgo bajo por la naturaleza del proceso.
1395;Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir;4;Puede haber residuos derivados de fabricación que implican riesgos medios-bajos.
1396;Fabricación de otros productos textiles de uso técnico e industrial;4;Fabricación de productos técnicos puede tener riesgos, pero generalmente son limitados.
1399;Fabricación de otros productos textiles n.c.o.p.;4;La fabricación de otros productos textiles puede tener residuos, pero es riesgo medio-bajo.
1411;Confección de prendas de vestir de cuero;6;El curtido de cuero puede implicar productos químicos de riesgo medio.
1412;Confección de ropa de trabajo;4;Confección de ropa de trabajo tiene un riesgo medio-bajo por posibles residuos.
1413;Confección de otras prendas de vestir exteriores;4;El riesgo es medio-bajo por los procesos utilizados en la confección de prendas externas.
1414;Confección de ropa interior;4;Confección de ropa interior presenta un riesgo medio-bajo por la naturaleza del material.
1419;Confección de otras prendas de vestir y accesorios;4;La confección de prendas y accesorios tiene un riesgo medio-bajo de residuos.
1420;Fabricación de artículos de peletería;6;Fabricación de artículos de peletería implica procesos químicos que aumentan el riesgo.
1431;Confección de calcetería;4;La confección de calcetería tiene riesgo medio-bajo aunque puede incluir algunos tintes.
1439;Confección de otras prendas de vestir de punto;4;Confección de prendas de vestir de punto presenta un riesgo medio-bajo por residuos.
1511;Preparación, curtido y acabado del cuero, preparación y teñido de pieles;10;La preparación y curtido de cuero es un proceso altamente contaminante y de alto riesgo.
1511;Preparación, curtido y acabado del cuero, preparación y teñido de pieles;10;Actividad relacionada con el curtido que implica el uso de productos químicos peligrosos.
1512;Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería;4;Fabricación de artículos de marroquinería, bajo riesgo por el uso de materiales no peligrosos.
1512;Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería;4;Fabricación de artículos de marroquinería, bajo riesgo por el uso de materiales no peligrosos.
1512;Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería;4;Fabricación de artículos de marroquinería, bajo riesgo por el uso de materiales no peligrosos.
1520;Fabricación de calzado;4;Fabricación de calzado, implica procesos de bajo riesgo para el alcantarillado.
1610;Aserrado y cepillado de la madera;2;Aserrado de madera, presenta bajo riesgo por el manejo de materiales no peligrosos.
1610;Aserrado y cepillado de la madera;2;Aserrado de madera, presenta bajo riesgo por el manejo de materiales no peligrosos.
1610;Aserrado y cepillado de la madera;2;Aserrado de madera, presenta bajo riesgo por el manejo de materiales no peligrosos.
1621;Fabricación de chapas y tableros de madera;2;Fabricación de chapas de madera, riesgo bajo debido al uso de materia prima natural.
1622;Fabricación de suelos de madera ensamblados;2;Fabricación de suelos de madera, riesgo bajo por el uso de materiales no peligrosos.
1623;Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción;2;Fabricación de estructuras de madera, presenta bajo riesgo por el manejo de materiales no peligrosos.
1623;Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción;2;Fabricación de estructuras de madera, presenta bajo riesgo por el manejo de materiales no peligrosos.
1624;Fabricación de envases y embalajes de madera;2;Fabricación de envases de madera, riesgo bajo por su naturaleza no peligrosa.
1629;Fabricación de otros productos de madera, artículos de corcho, cestería y espartería;2;Fabricación de otros productos de madera, riesgo bajo por el manejo de materiales no peligrosos.
1629;Fabricación de otros productos de madera, artículos de corcho, cestería y espartería;2;Fabricación de otros productos de madera, riesgo bajo por el manejo de materiales no peligrosos.
1629;Fabricación de otros productos de madera, artículos de corcho, cestería y espartería;2;Fabricación de otros productos de madera, riesgo bajo por el manejo de materiales no peligrosos.
1629;Fabricación de otros productos de madera, artículos de corcho, cestería y espartería;2;Fabricación de otros productos de madera, riesgo bajo por el manejo de materiales no peligrosos.
1629;Fabricación de otros productos de madera, artículos de corcho, cestería y espartería;2;Fabricación de otros productos de madera, riesgo bajo por el manejo de materiales no peligrosos.
1711;Fabricación de pasta papelera;8;Fabricación de pasta papelera puede implicar el uso de químicos en el proceso.
1711;Fabricación de pasta papelera;8;Fabricación de pasta papelera puede implicar el uso de químicos en el proceso.
1712;Fabricación de papel y cartón;8;Fabricación de papel y cartón, riesgo alto debido a procesos industriales.
1721;Fabricación de papel y cartón ondulados, fabricación de envases y embalajes de papel y cartón;8;Fabricación de papel ondulado y envases, potencial riesgo por químicos.
1722;Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico;4;Fabricación de artículos de papel higiénico, riesgo medio-bajo por naturaleza de productos.
1722;Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico;4;Fabricación de artículos de papel higiénico, riesgo medio-bajo por naturaleza de productos.
1723;Fabricación de artículos de papelería;4;Fabricación de artículos de papelería, bajo riesgo por materia prima principalmente reciclada.
1723;Fabricación de artículos de papelería;4;Fabricación de artículos de papelería, bajo riesgo por materia prima principalmente reciclada.
1724;Fabricación de papeles pintados;4;Fabricación de papeles pintados, riesgo medio-bajo por el uso de productos químicos.
1729;Fabricación de otros artículos de papel y cartón;4;Fabricación de otros artículos de papel, riesgo medio-bajo por procesos menos contaminantes.
1729;Fabricación de otros artículos de papel y cartón;4;Fabricación de otros artículos de papel, riesgo medio-bajo por procesos menos contaminantes.
1811;Impresión de periódicos;0;Impresión de periódicos, sin riesgo relacionado con vertidos industriales.
1812;Otras actividades de impresión y artes gráficas;4;Impresión y artes gráficas pueden generar residuos, aunque en menor medida.
1813;Servicios de preimpresión y preparación de soportes;4;Servicios de preimpresión implican el uso de tintas y productos químicos.
1813;Servicios de preimpresión y preparación de soportes;4;Servicios de preimpresión implican el uso de tintas y productos químicos.
1814;Encuadernación y servicios relacionados con la misma;4;Encuadernación puede generar residuos de papel y adhesivos.
1820;Reproducción de soportes grabados;4;Reproducción de soportes grabados puede involucrar el uso de químicos.
1820;Reproducción de soportes grabados;4;Reproducción de soportes grabados puede involucrar el uso de químicos.
1820;Reproducción de soportes grabados;4;Reproducción de soportes grabados puede involucrar el uso de químicos.
1910;Coquerías;10;Las coquerías generan residuos peligrosos y contaminantes.
